metric_name,description,dimensions,meta_team,meta_refresh_frequency,meta_unit,meta_sla_target
total_complaints,Total 311 service requests,created_date_key;agency_key,analytics,daily,, 
avg_response_time_hours,Mean resolution time,is_closed;created_date_key,analytics,daily,,48
sla_compliance_rate,% resolved within SLA,is_closed;created_date_key,analytics,daily,percentage,80
new_complaints,Open complaints created,status,is_closed,analytics,daily,,
closed_complaints,Successfully resolved complaints,is_closed,analytics,daily,,
weekend_complaints,Complaints created on weekends,created_date_key,analytics,daily,,
complaints_with_resolution,Complaints with documented resolution,has_resolution,analytics,daily,,
resolution_rate,% of closed complaints with resolution,has_resolution,analytics,daily,percentage,
inspection_rate,% resulting in inspection,was_inspected,analytics,daily,percentage,
complaints_per_capita,Complaints per 1000 residents,,analytics,daily,, 
business_hours_complaints_pct,% created during business hours,is_business_hours,analytics,daily,, 
agency_workload,Avg daily complaints per agency,agency_key,analytics,daily,, 
agency_productivity_score,Composite performance score,agency_key,analytics,daily,, 
hotspot_locations,Count of hotspot locations,location_key,analytics,daily,, 
location_complaint_intensity,Avg complaints per location per day,location_key,analytics,daily,, 
covid_volume_change,% change vs pre-COVID baseline,covid_period,analytics,daily,percentage,
wfh_impact_score,Work-from-home impact indicator,covid_period,analytics,daily,, 
holiday_volume_deviation,Holiday impact on volume,holiday_name;holiday_category,analytics,daily,percentage,
seasonal_complaint_volume,Seasonal patterns,season;nyc_seasonal_context,analytics,daily,,
heating_season_complaints,Heating season complaints,season;nyc_seasonal_context,analytics,daily,,
seasonal_deviation,Deviation from seasonal average,season;month_name,analytics,daily,percentage,
